 TimeSt,Latitude,Longitude,_ID,Country,Province,City,POIID,Dist
2017-06-21 00:08:55.530,52.31160,-113.84200,5451444,CA,AB,Red Deer,POI3,2861.692942577942
2017-06-21 00:15:18.227,43.71290,-79.38880,4749578,CA,ON,Toronto,POI1,2988.615436715562
2017-06-21 00:17:41.010,43.60460,-79.67290,4786959,CA,ON,Mississauga,POI1,4814.111964737481
2017-06-21 00:19:37.423,43.56875,-79.71975,4807885,CA,ON,Mississauga,POI1,5131.132084923376
2017-06-21 00:42:58.303,45.25152,-74.12760,5129282,CA,QC,Salaberry-De-Valleyfield,POI3,1755.3535236229948
2017-06-21 00:47:57.733,53.40541,-113.52139,5199622,CA,AB,Edmonton,POI1,925.2000383684649
2017-06-21 00:51:47.117,51.30650,-116.95400,5250895,CA,BC,Golden,POI3,3211.917638494293
2017-06-21 01:07:31.170,43.47170,-80.51270,5443472,CA,ON,Waterloo,POI1,9654.070852938481
2017-06-21 01:09:03.070,50.98190,-114.10040,5453958,CA,AB,Calgary,POI4,3861.341018714835
2017-06-21 01:11:00.580,51.03780,-114.08000,5475508,CA,AB,Calgary,POI4,3493.5089110883814
2017-06-21 01:18:16.990,43.70280,-79.51560,5558875,CA,ON,York,POI1,3763.8334134250154
2017-06-21 01:20:12.390,43.65240,-79.51100,4813019,CA,ON,Etobicoke,POI1,3802.7715781223546
2017-06-21 01:22:38.513,51.02703,-113.81693,5611504,CA,AB,Chestermere,POI4,3223.454546757764
2017-06-21 02:17:15.803,43.67960,-79.43430,4780201,CA,ON,Toronto,POI1,3309.7150462858717
2017-06-21 02:27:09.910,51.08760,-114.02140,4896878,CA,AB,Calgary,POI4,3106.0571087962007
2017-06-21 02:35:32.153,43.51150,-79.62920,5025269,CA,ON,Mississauga,POI1,4726.32188388827
2017-06-21 02:56:05.857,43.38420,-80.29680,5318731,CA,ON,Cambridge,POI1,8450.090982353053
2017-06-21 02:58:44.050,53.44144,-113.43615,5347281,CA,AB,Edmonton,POI1,737.8818329984698
2017-06-21 02:58:56.943,51.18340,-114.46870,5349658,CA,AB,Cochrane,POI4,3380.822586950974
2017-06-21 03:00:33.403,43.75780,-79.46110,5374704,CA,ON,North York,POI1,3381.7482183117504
2017-06-21 03:02:09.557,45.51120,-73.81650,4576492,CA,QC,Pierrefonds,POI3,88.07564247948082
2017-06-21 03:27:04.613,43.67960,-79.43430,4895829,CA,ON,Toronto,POI1,3309.7150462858717
2017-06-21 03:45:23.007,53.44220,-113.44524,5165697,CA,AB,Edmonton,POI1,710.667767263536
2017-06-21 03:46:12.597,43.76770,-79.41260,5179025,CA,ON,North York,POI1,3074.9891541883767
2017-06-21 03:46:15.567,49.21572,-122.98798,5181002,CA,BC,Burnaby,POI1,5815.6232713119925
2017-06-21 03:59:31.740,51.03457,-114.12068,5362125,CA,AB,Calgary,POI4,3577.2934868886755
2017-06-21 04:06:47.957,43.83600,-79.22759,5434800,CA,ON,Scarborough,POI1,1888.9367500727385
2017-06-21 04:11:57.910,50.43300,-104.59400,5488209,CA,SK,Regina,POI1,3907.046523959296
2017-06-21 04:12:51.013,45.38040,-75.74680,5496160,CA,ON,Ottawa,POI4,994.5584219207233
2017-06-21 04:19:49.813,53.46660,-113.41530,4810016,CA,AB,Edmonton,POI1,675.6703042085771
2017-06-21 04:27:01.580,45.44610,-73.48500,4894293,CA,QC,Brossard,POI3,482.2762713887798
2017-06-21 04:31:14.670,53.42490,-113.59500,4950998,CA,AB,Edmonton,POI1,1038.554821216725
2017-06-21 04:41:32.697,50.70089,-114.00378,5106906,CA,AB,Okotoks,POI4,5459.128877409435
2017-06-21 04:46:12.500,45.50200,-73.56200,5181067,CA,QC,Montréal,POI3,125.09984054379672
2017-06-21 04:48:22.850,49.24535,-122.89654,5206604,CA,BC,Burnaby,POI1,5615.28939867532
2017-06-21 05:05:45.350,53.58700,-113.44100,4622059,CA,AB,Edmonton,POI1,383.3178086028731
2017-06-21 05:06:26.967,45.50613,-73.57111,4634020,CA,QC,Montréal,POI3,98.78298137414991
2017-06-21 05:19:10.860,43.83950,-79.38310,5571318,CA,ON,Thornhill,POI1,2869.833249176155
2017-06-21 06:01:38.097,45.95137,-66.61310,5386747,CA,NB,Fredericton,POI4,698.330433927982
2017-06-21 06:07:51.113,46.49460,-81.00660,4656086,CA,ON,Sudbury,POI3,6082.674494128133
2017-06-21 06:15:58.287,53.47359,-113.39653,4760285,CA,AB,Edmonton,POI1,730.4623082004634
2017-06-21 06:19:20.267,43.51520,-79.88020,5575082,CA,ON,Milton,POI1,6103.764289996054
2017-06-21 06:27:19.420,45.44550,-75.68940,4897261,CA,ON,Ottawa,POI3,809.0813737615246
2017-06-21 06:35:08.583,51.13870,-114.20150,5021521,CA,AB,Calgary,POI4,3107.820277445828
2017-06-21 07:01:07.617,44.67776,-63.58159,5382399,CA,NS,Dartmouth,POI4,3665.063203599472
2017-06-21 07:01:32.103,42.96110,-81.24310,4549128,CA,ON,London,POI1,11503.749740442408
2017-06-21 07:24:03.270,51.12640,-114.14190,4861632,CA,AB,Calgary,POI4,3072.5177002686705
2017-06-21 07:32:24.977,51.03810,-114.11800,4970374,CA,AB,Calgary,POI4,3551.9180594191516
2017-06-21 07:41:27.723,51.06300,-113.88900,5105597,CA,AB,Calgary,POI4,3077.8699466644703
2017-06-21 08:05:01.320,43.69140,-79.43100,4613533,CA,ON,York,POI1,3271.791089076578
2017-06-21 08:23:30.760,43.37560,-79.81450,4854092,CA,ON,Burlington,POI1,5961.400264844698
2017-06-21 08:32:20.460,43.66510,-79.43690,4969761,CA,ON,Toronto,POI1,3349.371092221768
2017-06-21 08:32:48.120,42.17200,-82.82300,4978671,CA,ON,Essex,POI1,8028.301679982297
2017-06-21 08:39:26.633,43.53550,-79.69150,5080483,CA,ON,Mississauga,POI1,5022.054075234082
2017-06-21 08:41:48.323,43.66820,-79.42090,5112234,CA,ON,Toronto,POI1,3250.77472019905
2017-06-21 08:52:27.747,49.22327,-122.98366,5259414,CA,BC,Burnaby,POI1,5766.419257987401
2017-06-21 09:13:52.303,53.49746,-112.05241,4729070,CA,AB,Vegreville,POI1,9066.087792198266
2017-06-21 09:16:00.383,45.50200,-73.56200,4761146,CA,QC,Montréal,POI3,125.09984054379672
2017-06-21 09:34:21.680,51.12316,-114.24965,5003373,CA,AB,Calgary,POI4,3285.1617213755458
2017-06-21 09:36:48.140,49.72570,-112.61800,5040840,CA,AB,Coaldale,POI4,12021.690893502904
2017-06-21 09:51:41.417,53.54221,-113.52337,5249482,CA,AB,Edmonton,POI1,238.93719910782337
2017-06-21 10:00:46.580,50.90930,-114.10280,4532732,CA,AB,Calgary,POI4,4305.400804767553
2017-06-21 10:01:36.760,42.98720,-79.28010,4556131,CA,ON,Welland,POI1,5729.089241409368
2017-06-21 10:05:15.363,51.03922,-113.97842,4615805,CA,AB,Calgary,POI4,3336.8301348158657
2017-06-21 10:12:12.250,50.78361,-113.90661,5489413,CA,AB,Hartell,POI4,4834.009478057668
2017-06-21 10:25:54.347,53.51810,-113.57970,4881313,CA,AB,Edmonton,POI1,620.4859337995467
2017-06-21 10:28:41.117,43.93294,-78.87544,4912827,CA,ON,Oshawa,POI1,662.6369900551482
2017-06-21 10:35:17.213,50.95050,-113.94700,5022832,CA,AB,Calgary,POI4,3840.553010939212
2017-06-21 10:48:52.240,52.12250,-106.72488,5213431,CA,SK,Saskatoon,POI3,1800.3145812153373
2017-06-21 11:17:31.000,43.07960,-79.08290,4784599,CA,ON,Niagara Falls,POI1,4933.596458745355
2017-06-21 11:32:54.693,43.62152,-79.48293,4979575,CA,ON,Toronto,POI1,3694.8931401547525
2017-06-21 11:50:49.190,51.14140,-114.07600,5236424,CA,AB,Calgary,POI4,2873.857384960984
2017-06-21 11:52:00.113,53.51410,-113.60100,5252871,CA,AB,Edmonton,POI1,757.099699999008
2017-06-21 12:42:41.900,52.38330,-113.80000,5125212,CA,AB,Blackfalds,POI3,3323.2007737441686
2017-06-21 12:42:54.090,53.59430,-113.42385,5127913,CA,AB,Edmonton,POI1,495.48013144758767
2017-06-21 12:47:54.770,43.60460,-79.67290,5198864,CA,ON,Mississauga,POI1,4814.111964737481
2017-06-21 12:59:44.043,43.64770,-79.41740,5364310,CA,ON,Toronto,POI1,3269.8195717963777
2017-06-21 13:06:47.897,43.67350,-79.40300,4638582,CA,ON,Toronto,POI1,3137.0641825272855
2017-06-21 13:09:44.577,48.47730,-81.33640,5459833,CA,ON,Timmins,POI1,8108.52316466977
2017-06-21 13:19:14.610,53.44144,-113.43615,4804856,CA,AB,Edmonton,POI1,737.8818329984698
2017-06-21 14:12:06.657,43.83950,-79.38310,4706775,CA,ON,Thornhill,POI1,2869.833249176155
